Municipality,Canton,Entity,Voters,KZCiD,HDZ,SDP,ZL 97,ZAVICAJ,DNZ,SDA,Independent Candidates,SDC Cazin,BOSS,HSS,BPS,SZS,HSP,HNZ,HKDP,ZAD,NS,SDS,SRS,SPRS,SSS,DSZBLiK,DS,SPO,NRS-Z,SDR,NDP,SOS,SPAS,SSKiP,SNS,SD,DPSRS,NRS,ZAB,SSJ,SPD,StrZA,SRS (*),SOF,UL,OS,DPS
Visegrad,Republika Srpska East,Republika Srpska,17151,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mostar RS,Republika Srpska East,Republika Srpska,1122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevesinje,Republika Srpska East,Republika Srpska,11636,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalinovik,Republika Srpska East,Republika Srpska,3022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gacko,Republika Srpska East,Republika Srpska,6716,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foca,Republika Srpska East,Republika Srpska,23198,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorazde RS,Republika Srpska East,Republika Srpska,5277,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajnice,Republika Srpska East,Republika Srpska,5675,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudo,Republika Srpska East,Republika Srpska,6458,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stolac RS,Republika Srpska East,Republika Srpska,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ljubinje,Republika Srpska East,Republika Srpska,2663,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bileca,Republika Srpska East,Republika Srpska,8125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trebinje,Republika Srpska East,Republika Srpska,20658,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosanska Krupa RS,Republika Srpska West,Republika Srpska,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosanski Novi,Republika Srpska West,Republika Srpska,27447,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosanska Dubica,Republika Srpska West,Republika Srpska,18157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
Prijedor,Republika Srpska West,Republika Srpska,76344,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,9,0,0,0,0,0,0,0,0,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0
Bosanska Gradiska,Republika Srpska West,Republika Srpska,36477,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,7,0,2,0,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Laktasi,Republika Srpska West,Republika Srpska,16804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,10,3,0,0,0,0,0,0,0,5,6,14,0,2,0,0,1,0,0,0,0,1,0,0
Srbac,Republika Srpska West,Republika Srpska,11790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,15,2,3,0,0,0,0,0,0,2,0,15,0,0,0,0,1,0,0,0,2,0,0,0
Prnjavor,Republika Srpska West,Republika Srpska,27432,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,10,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Derventa,Republika Srpska West,Republika Srpska,27573,6,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosanski Brod,Republika Srpska West,Republika Srpska,17290,5,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odzak RS,Republika Srpska West,Republika Srpska,3085,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosanski Samac,Republika Srpska West,Republika Srpska,14124,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orasje RS,Republika Srpska West,Republika Srpska,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modrica,Republika Srpska West,Republika Srpska,22669,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gradacac RS,Republika Srpska West,Republika Srpska,4467,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,4,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Brcko,Republika Srpska West,Republika Srpska,36546,16,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Bosanski Petrovac RS,Republika Srpska West,Republika Srpska,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
